期,項目,要因,金額,説明
2023.12,売上増加,クチコミPF利用企業数増加,+562,クチコミプラットフォームの利用企業数・ユーザー数が順調に拡大し増収
2023.12,売上増加,リクルーティング事業拡大,+323,リクルーティングサービスの法人顧客数増加と求人掲載単価の上昇
2023.12,原価増加,サーバー費用・人件費増,−177,ユーザー増に伴うサーバーインフラ拡張とエンジニア採用による人件費増
2023.12,販管費増加,広告宣伝費・採用費増,−463,ブランド認知向上のためのTVCM・Web広告投資と営業人員の採用強化
2024.12,売上増加,クチコミPFユーザー・企業数増加,+358,口コミ投稿数の増加によるプラットフォーム価値向上が法人利用を促進
2024.12,売上増加,リクルーティング単価上昇,+262,採用難を背景とした求人掲載単価の引き上げとマッチング精度向上
2024.12,原価増加,開発・インフラ費用増,−124,AI機能開発やクラウドインフラの拡張に伴うコスト増
2024.12,販管費増加,人員増・マーケ費用増,−326,事業拡大に向けた営業・CS人員の増員とマーケティング投資の拡大
2025.12,売上増加,法人顧客数・ARPU増加,+660,クチコミPF・リクルーティング双方での法人顧客数増加とARPU向上
2025.12,売上増加,リクルーティング新サービス,+451,新規サービスラインの立ち上げと既存サービスの売上拡大
2025.12,原価増加,人員増・クラウド費用増,−222,エンジニア採用強化とクラウドインフラのスケールアップに伴うコスト増
2025.12,販管費増加,営業体制強化・広告費増,−716,営業組織の大幅増員とプロモーション投資の拡大による販管費の増加
